((0, 2, 2, 0, 2, 3), [0, 0], 6.862000000000002)
((0, 2, 2, 0, 2, 3), [0, 1], 23.646999999999995)
((0, 2, 2, 0, 2, 3), [0, 2], 42.52039999999998)
((0, 2, 2, 0, 2, 3), [1, 0], 9.263700000000002)
((0, 2, 2, 0, 2, 3), [1, 1], 31.92345000000001)
((0, 2, 2, 0, 2, 3), [1, 2], 57.40254)
((0, 2, 2, 0, 2, 3), [2, 0], 10.636100000000006)
((0, 2, 2, 0, 2, 3), [2, 1], 36.65285)
((0, 2, 2, 0, 2, 3), [2, 2], 65.90661999999992)
((3, 1, 2, 0, 2, 1), (0, 0), 0)
((0, 1, 4, 3, 1, 0), [0, 0], 14.792598000000003)
((0, 1, 4, 3, 1, 0), [0, 1], 53.863105999999966)
((0, 1, 4, 3, 1, 0), [0, 2], 107.58762199999993)
((0, 1, 4, 3, 1, 0), [1, 0], 17.751117599999997)
((0, 1, 4, 3, 1, 0), [1, 1], 64.63572720000002)
((0, 1, 4, 3, 1, 0), [1, 2], 129.10514639999994)
((0, 1, 4, 3, 1, 0), [2, 0], 19.2303774)
((0, 1, 4, 3, 1, 0), [2, 1], 70.0220377999999)
((0, 1, 4, 3, 1, 0), [2, 2], 139.86390859999975)
((0, 0, 1, 0, 0, 1), [0, 0], 10.4)
((0, 0, 1, 0, 0, 1), [0, 1], 4.055999999999999)
((0, 0, 1, 0, 0, 1), [0, 2], 2.344000000000001)
((0, 0, 1, 0, 0, 1), [1, 0], 10.4)
((0, 0, 1, 0, 0, 1), [1, 1], 4.056)
((0, 0, 1, 0, 0, 1), [1, 2], 2.344000000000001)
((0, 0, 1, 0, 0, 1), [2, 0], 10.4)
((0, 0, 1, 0, 0, 1), [2, 1], 4.056)
((0, 0, 1, 0, 0, 1), [2, 2], 2.344000000000001)
((1, 0, 4, 2, 0, 1), [0, 0], 5.944000000000002)
((1, 0, 4, 2, 0, 1), [0, 1], 24.052400000000006)
((1, 0, 4, 2, 0, 1), [0, 2], 43.470720000000014)
((1, 0, 4, 2, 0, 1), [1, 0], 7.430000000000002)
((1, 0, 4, 2, 0, 1), [1, 1], 30.06549999999999)
((1, 0, 4, 2, 0, 1), [1, 2], 54.338400000000014)
((1, 0, 4, 2, 0, 1), [2, 0], 8.173000000000004)
